Abacavir (sulfato) 	Glaxosmithkline 	ZIAGENAVIR 	101070234 	20 mg/mL 	sol or 	30/11/2012
Aciclovir 	Glaxosmithkline 	ZOVIRAX 	101070253 	0,03 g/g 	pom oft 	12/11/2012
Aciclovir 	Glaxosmithkline 	ZOVIRAX 	101070253 	200 mg 	com 	12/11/2012
Aciclovir 	Glaxosmithkline 	ZOVIRAX 	101070253 	250 mg 	po liof sol inj 	12/11/2012
Aciclovir 	Glaxosmithkline 	ZOVIRAX 	101070253 	50 mg/g 	crem derm 	12/11/2012
Aciclovir 	Merck S/A 	ACICLOVIR 	100890334 	400 mg 	com 	12/11/2012
Acitretina 	Glenmark 	NEOTIGASON 	110130271 	10mg 	cap dura 	12/11/2012
Acitretina 	Glenmark 	NEOTIGASON 	110130271 	25 mg 	cap dura 	12/11/2012
Adapaleno 	Galderma 	DIFFERIN 	129160025 	1,0 mg/g 	gel 	12/11/2012
Adapaleno 	Galderma 	DIFFERIN 	129160025 	3,0 mg/g 	gel 	12/11/2012
Adapaleno 	Galderma 	DIFFERIN 	129160025 	1,0 mg/g 	crem derm 	12/11/2012
Adenosina 	Libbs 	ADENOCARD 	100330038 	3,0 mg/mL 	sol inj 	12/11/2012
Agomelatina 	Servier 	VALDOXAN 	112780073 	25 mg 	com rev 	21/1/2013
Albendazol 	Glaxosmithkline 	ZENTEL 	101070089 	200 mg 	com 	12/11/2012
Albendazol 	Glaxosmithkline 	ZENTEL 	101070089 	400 mg 	com mast 	12/11/2012
Albendazol 	Glaxosmithkline 	ZENTEL 	101070089 	40 mg/mL 	sus or 	12/11/2012
Alcaftadina 	Allergan 	LASTACAFT 	101470179 	2,5mg/ml 	sol oft 	1/7/2014
Alendronato sódico 	Merck Sh p & D arohme	FOSAMAX	100290180	70 mg(ácidoldôi) aenrnco	com 	12/11/2012
Alfaestradiol 	Galderma 	AVICIS 	129160046 	0,25 mg/mL 	sol top capilar 	12/11/2012
Alfentanila (cloridrato) 	Janssen Cilag 	RAPIFEN 	112360025 	0,544 mg/mL 	sol inj 	12/11/2012
Alfuzosina (cloridrato) 	Sanofi-Aventis 	XATRAL OD 	113001018 	10 mg 	com rev 	12/11/2012
Alisquereno (hemifumarato) 	Novartis Biociências 	RASILEZ 	100681055 	150 	com rev 	12/11/2012
Alisquereno (hemifumarato) 	Novartis Biociências 	RASILEZ 	100681055 	300mg 	com rev 	22/1/2013
Alopurinol 	Glaxosmithkline 	ZYLORIC 	137640122 	100mg 	com 	12/11/2012
Alopurinol 	Glaxosmithkline 	ZYLORIC 	137640122 	300mg 	com 	12/11/2012
Alprazolam 	Pfizer 	FRONTAL 	102160131 	0,25mg 	com 	12/11/2012
Alprazolam 	Pfizer 	FRONTAL 	102160131 	0,5mg 	com 	12/11/2012
Alprazolam 	Pfizer 	FRONTAL 	102160131 	1mg 	com 	12/11/2012
Alprazolam 	Pfizer 	FRONTAL 	102160131 	2mg 	com 	12/11/2012
Alprazolam 	Pfizer 	FRONTAL XR 	123890015 	0,5mg 	com rev lib lenta 	12/11/2012
Alprazolam 	Pfizer 	FRONTAL XR 	123890015 	1,0mg 	com rev lib lenta 	12/11/2012
Alprazolam 	Pfizer 	FRONTAL XR 	123890015 	2,0mg 	com rev lib lenta 	12/11/2012
Alprostadil 	Pfizer 	CAVERJECT 	102160203 	10µg 	po liof sol inj 	24/6/2013
Alprostadil 	Pfizer 	CAVERJECT 	102160203 	20 µg 	po liof sol inj 	24/6/2013
Amantadina (cloridrato) 	Eurofarma 	MANTIDAN 	100430519 	100mg 	com 	13/9/2013
Ambroxol (cloridrato) 	Boehringer Ingelheim 	MUCOSOLVAN 	103670073 	3 mg/ml 	xpe 	12/11/2012
Ambroxol (cloridrato) 	Boehringer Ingelheim 	MUCOSOLVAN 	103670073 	6 mg/ml 	xpe 	12/11/2012
Ambroxol (cloridrato) 	Boehringer Ingelheim 	MUCOSOLVAN 	103670073 	7,5mg/mL 	sol or (got) 	12/11/2012
Ambroxol (cloridrato) 	Boehringer Ingelheim 	MUCOSOLVAN 24 H 	103670073 	75mg 	cap lib cont 	23/7/2013
Amicacina (sulfato) 	Teuto 	SULFATO DE AMICACINA 	103700297 	50mg/ml 	sol inj 	12/11/2012
Amicacina (sulfato) 	Teuto 	SULFATO DE AMICACINA 	103700297 	125mg/ml 	sol inj 	12/11/2012
Amicacina (sulfato) 	Teuto 	SULFATO DE AMICACINA 	103700297 	250mg/ml 	sol inj 	12/11/2012
Amifostina 	Schering Plough 	ETHYOL 	101710192 	500mg 	po liof sol inj 	12/11/2012
Amiodarona (cloridrato) 	SAnofi-Aventis 	ATLANSIL 	113001068 	100mg 	com 	12/11/2012
Amiodarona (cloridrato) 	SAnofi-Aventis 	ATLANSIL 	113001068 	200mg 	com 	12/11/2012
Amiodarona (cloridrato) 	SA fi A no-ventis	ATLANSIL	113001068	50mg/ml (150mg FR3l) m	sol inj 	12/11/2012
Aminofilina 	Hipolabor 	AMINOFILINA 	113430118 	24 mg/ml 	sol inj 	12/11/2012
Amisulprida 	Sanofi-Aventis 	SOCIAN 	113001028 	50mg 	com 	12/11/2012
Amisulprida 	Sanofi-Aventis 	SOCIAN 	113001028 	200mg 	com 	12/11/2012
Amitriptilina (cloridrato) 	Cristalia 	AMYTRIL 	102980364 	25mg 	com rev 	7/10/2013
Amitriptilina (cloridrato) 	Cristalia 	AMYTRIL 	102980364 	75mg 	com rev 	7/10/2013
Amorolfina 	Galderma 	LOCERYL 	129160036 	50mg/mL 	esml 	12/11/2012
Cloridrato de amorolfina 	Galderma 	LOCERYL 	129160036 	2,5mg/g 	crem derm 	29/10/2015
Amoxicilina 	Glaxosmithkline 	AMOXIL BD 	101070225 	200mg/5ml 	po sus or 	12/11/2012
Amoxicilina 	Glaxosmithkline 	AMOXIL BD 	101070225 	400mg/5ml 	po sus or 	12/11/2012
Amoxicilina 	Glaxosmithkline 	AMOXIL BD 	101070225 	875mg 	com rev 	12/11/2012
Amoxicilina 	Glaxosmithkline 	AMOXIL 	101070003 	500mg 	cap dura 	10/5/2013
Amoxicilina 	Glaxosmithkline 	AMOXIL 	101070003 	125mg/5ml 	po sus or 	23/7/2013
Amoxicilina 	Glaxosmithkline 	AMOXIL 	101070003 	250mg/5ml 	po sus or 	23/7/2013
Amoxicilina 	Glaxosmithkline 	AMOXIL 	101070003 	500mg/5ml 	po sus or 	23/7/2013
Ampicilina 	Bayer 	BINOTAL 	170560033 	500mg 	com 	12/11/2012
Ampicilina 	Bayer 	BINOTAL 	170560033 	1000mg 	com 	12/11/2012
Anagrelida (cloridrato) 	EMS S/A 	AGRYLIN 	135690030 	0,5mg 	cap dura 	13/9/2013
Anagrelida (cloridrato) 	EMS S/A 	AGRYLIN 	135690030 	1,0mg 	cap dura 	13/9/2013
Anastrozol 	Astrazeneca 	ARIMIDEX 	116180063 	1mg 	com rev 	12/11/2012
Anfotericina B 	Teva Farmacêutica 	ABELCET 	155730034 	5mg/ml 	sus inj 	12/11/2012
Anidulafungina 	Pfizer 	ECALTA 	102160219 	100mg 	po liof sol inj 	12/11/2012
Anlodipino (besilato) 	Pfizer 	NORVASC 	102160018 	5,0mg 	com 	12/11/2012
Anlodipino (besilato) 	Pfizer 	NORVASC 	102160018 	10mg 	com 	12/11/2012
Apixabana 	Bristol Myers Squibb 	Eliquis 	101800400 	2,5mg 	com rev 	29/10/2014
Apixabana 	Bristol Myers Squibb 	Eliquis 	101800400 	5mg 	com rev 	29/10/2014
Aripiprazol 	Aché 	ARISTAB 	105730425 	10mg 	com 	29/7/2014
Aripiprazol 	Aché 	ARISTAB 	105730425 	15mg 	com 	29/7/2014
Aripiprazol 	Aché 	ARISTAB 	105730425 	20mg 	com 	29/7/2014
Aripiprazol 	Aché 	ARISTAB 	105730425 	30mg 	com 	29/7/2014
Atazanavir (sulfato) 	Bristol Myers Squibb 	REYATAZ 	101800301 	100mg 	cap dura 	12/11/2012
Atazanavir (sulfato) 	Bristol Myers Squibb 	REYATAZ 	101800301 	150 mg 	cap dura 	12/11/2012
Atazanavir (sulfato) 	Bristol Myers Squibb 	REYATAZ 	101800301 	200 mg 	cap dura 	12/11/2012
Atazanavir (sulfato) 	Bristol Myers Squibb 	REYATAZ 	101800301 	300 mg 	cap dura 	12/11/2012
Atazanavir (sulfato) 	Bristol Myers Squibb 	REYATAZ 	101800301 	50mg/1,5g 	po sol extemp 	12/11/2012
Atenolol 	Astrazeneca 	ATENOL 	116180003 	25mg 	com 	12/11/2012
Atenolol 	Astrazeneca 	ATENOL 	116180003 	50mg 	com 	12/11/2012
Atenolol 	Astrazeneca 	ATENOL 	116180003 	100 mg 	com 	12/11/2012
Atorvastatina cálcica 	Pfizer 	CITALOR 	102160062 	10mg 	com rev 	12/11/2012
Atorvastatina cálcica 	Pfizer 	CITALOR 	102160062 	20mg 	com rev 	12/11/2012
Atorvastatina cálcica 	Pfizer 	CITALOR 	102160062 	40mg 	com rev 	12/11/2012
Atorvastatina cálcica 	Pfizer 	CITALOR 	102160062 	80mg 	com rev 	12/11/2012
Atosibano (acetato) 	Ferring 	TRACTOCILE 	128760010 	7,5mg/mL 	sol inj 	12/11/2012
Atosibano (acetato) 	Ferring 	TRACTOCILE 	128760010 	7,5mg/mL 	sol infus 	12/11/2012
Atracúrio (besilato) 	Glaxosmithkline 	TRACRIUM 	101070193 	10mg/mL 	sol inj 	12/11/2012
Axetilcefuroxima 	Glaxosmithkline 	ZINNAT 	101070205 	250mg/5mL 	po sus or 	12/11/2012
Axetilcefuroxima 	Glaxosmithkline 	ZINNAT 	101070205 	250 g 	com rev 	12/11/2012
Axetilcefuroxima 	Glaxosmithkline 	ZINNAT 	101070205 	500mg 	com rev 	13/11/2012
Axetilcefuroxima 	Glaxosmithkline 	ZINNAT 	101070205 	250mg 	po sol or 	23/9/2014
Azacitidina 	United Medical 	VIDAZA 	125760020 	100mg 	po liof sus inj 	1/7/2014
Azatioprina 	Aspen Pharma 	IMURAN 	137640128 	50 mg 	com rev 	12/11/2012
Azelaico, ácido 	Intendis 	AZELAN 	162040004 	150 mg/g 	gel 	12/11/2012
Azelaico, ácido 	Intendis 	AZELAN 	162040004 	200 mg/g 	crem derm 	12/11/2012
Azelastina (cloridrato) 	Aché 	RINO-LASTIN 	105730344 	0,9 pcc 	sol nas (spr) 	12/11/2012
Azitromicina di-hidratada 	EMS Sigma Pharma 	AZI 	135690011 	1000mg 	com rev 	29/7/2014
Azitromicina di-hidratada 	Pfizer 	ZITROMAX 	102160045 	500mg 	com rev 	12/11/2012
Azitromicina di-hidratada 	Pfizer 	ZITROMAX 	102160045 	500mg 	po liof sol infus 	24/6/2013
Azitromicina di-hidratada 	Eurofarma 	ASTRO 	100430813 	200mg/5ml 	po sus or 	23/9/2014; 29/01/2016
Aztreonam 	Novafarma 	AZEUS 	114020060 	1000mg 	po sol inj 	12/11/2012
Baclofeno 	Novartis Biociências 	LIORESAL 	100680059 	10mg 	com 	12/11/2012
Bambuterol (cloridrato) 	Astrazeneca 	BAMBEC 	116180070 	1mg/mL 	sol or 	12/11/2012
Bamifilina (cloridrato) 	Chiesi 	BAMIFIX 	100580055 	300mg 	drag 	12/11/2012
Bamifilina (cloridrato) 	Chiesi 	BAMIFIX 	100580055 	600 mg 	drag 	12/11/2012
Beclometasona (dipropionato) 	Chiesi 	CLENIL spray 	100580009 	100mcg/dose 	sus nas 	12/11/2012
Beclometasona (dipropionato) 	Chiesi 	CLENIL spray 	100580009 	50mcg/dose 	sus nas 	12/11/2012
Beclometasona (dipropionato) 	Chiesi 	CLENIL HFA SPR 	100580111 	50mcg/dose 	sol aer inal or + inal 	12/11/2012
Beclometasona (dipropionato) 	Chiesi 	CLENIL HFA SPR 	100580111 	100mcg/dose 	sol aer inal or + inal 	12/11/2012
Beclometasona (dipropionato) 	Chiesi 	CLENIL HFA SPR 	100580111 	200mcg/dose 	sol aer inal or + inal 	12/11/2012
Beclometasona (dipropionato) 	Chiesi 	CLENIL HFA SPR 	100580111 	250mcg/dose 	sol aer inal or + inal 	12/11/2012
Beclometasona (dipropionato) 	Chiesi 	CLENIL HFA JET 	100580111 	50mcg/dose 	sol aer inal or + espaç 	12/11/2012
Beclometasona (dipropionato) 	Chiesi 	CLENIL HFA JET 	100580111 	100mcg/dose 	sol aer inal or + espaç 	12/11/2012
Beclometasona (dipropionato) 	Chiesi 	CLENIL HFA JET 	100580111 	200mcg/dose 	sol aer inal or + espaç 	12/11/2012
Beclometasona (dipropionato) 	Chiesi 	CLENIL HFA JET 	100580111 	250mcg/dose 	sol aer inal or + espaç 	13/11/2012
Beclometasona (dipropionato) 	Chiesi 	CLENIL HFA SPR JET 	100580111 	50mcg/dose 	sol aer inal or+ inal + espaç 	12/11/2012
Beclometasona (dipropionato) 	Chiesi 	CLENIL HFA SPR JET 	100580111 	100mcg/dose 	sol aer inal or+ inal + espaç 	12/11/2012
Beclometasona (dipropionato) 	Chiesi 	CLENIL HFA SPR JET 	100580111 	200mcg/dose 	sol aer inal or+ inal + espaç 	12/11/2012
Beclometasona (dipropionato) 	Chiesi 	CLENIL HFA SPR JET 	100580111 	250mcg/dose 	sol aer inal or+ inal + espaç 	13/11/2012
Beclometasona (dipropionato) 	Glaxosmithkline 	BECLOSOL SPR NASAL 	101070188 	50 mcg/mg 	sus spr nas 	12/11/2012
Benazepril (cloridrato) 	Novartis Biociências 	LOTENSIN 	100680063 	5mg 	com rev 	12/11/2012
Benazepril (cloridrato) 	Novartis Biociências 	LOTENSIN 	100680063 	10 mg 	com rev 	13/11/2012
Benfotiamina 	Hypermarcas 	MILGAMMA 	172870517 	150mg 	drag 	11/2/2015
Benzidamina (cloridrato) 	Aché 	FLOGORAL 	105730313 	1,5mg/mL 	colut spray 	12/11/2012
Benzidamina (cloridrato) 	Aché 	FLOGORAL 	105730313 	1,5mg/mL 	colut 	12/11/2012
Benzidamina (cloridrato) 	Aché 	FLOGORAL 	105730313 	3mg 	past 	12/11/2012
Benzidamina (cloridrato) 	Aché 	FLOGORAL 	105730313 	5mg/g 	crem dental 	12/11/2012
Benzila (benzoato) 	Aché 	MITICOÇAN 	105730334 	0,2mL/mL 	emul top 	30/11/2012
Benzila (benzoato) 	Ache 	MITICOÇAN 	105730334 	100 mg/g 	sab 	30/11/2012
Benzilpenicilina benzatina 	Eurofarma 	BENZETACIL 	100430686 	1.200.000UI (300.000UI/mLX4mL)	ssijun	12/11/2012;10/12/2014
Benzilpenicilina benzatina 	Eurofarma 	BENZETACIL 	100430686 	600.000 UI(150000UI/LX4 L) . m m 	sus i jn	12/11/2012;10/12/2014
Benzoilmetronidazol 	Sanofi-Aventis 	FLAGYL 	113000078 	40mg/mL 	sus or 	12/11/2012
Betaistina (dicloridrato) 	Abbott 	BETASERC 	105530343 	16mg 	com 	12/11/2012
Betaistina (dicloridrato) 	Abbott 	BETASERC 	105530343 	24mg 	com 	13/11/2012
Betametsona 	Hypermarcas 	CELESTONE 	172870524 	0,1mg/mL 	elx 	12/11/2012
Betametsona 	Hypermarcas 	CELESTONE 	172870524 	0,5mg 	com 	12/11/2012
Betametsona 	Hypermarcas 	CELESTONE 	172870524 	2mg 	com 	13/11/2012
Betametsona 	Hypermarcas 	CELESTONE 	172870524 	0,5mg 	sol or 	12/11/2012
Betametasona (dipropionato) 	Schering Plough 	DIPROSONE 	100930033 	0,64mg/g 	pom derm 	12/11/2012
Betametasona (dipropionato) 	Schering Plough 	DIPROSONE 	100930033 	0,64mg/g 	crem derm 	12/11/2012
Betametasona (dipropionato) 	Schering Plough 	DIPROSONE 	100930033 	0,64mg/mL 	loç derm 	12/11/2012
Betametasona (fosfato dissódico) 	Hypermarcas 	CELESTONE INJETÁVEL 	172870523 	4mg/mL 	sol inj 	12/11/2012
Betametasona (valerato) 	Glaxosmithkline 	BETNOVATE 	101070233 	1mg/g 	loç derm 	12/11/2012
Betametasona (valerato) 	Glaxosmithkline 	BETNOVATE 	101070233 	1mg/g 	loç capilar 	12/11/2012
Betametasona (valerato) 	Glaxosmithkline 	BETNOVATE 	101070233 	1mg/g 	crem derm 	12/11/2012
Betametasona (valerato) 	Glaxosmithkline 	BETNOVATE 	101070233 	1mg/g 	pom derm 	12/11/2012
Bisoprolol (hemifumarato) 	Merck S/A 	CONCOR 	100890194 	1,25mg 	com rev 	13/9/2013
Bisoprolol (hemifumarato) 	Merck S/A 	CONCOR 	100890194 	2,5mg 	com rev 	13/9/2013
Bisoprolol (hemifumarato) 	Merck S/A 	CONCOR 	100890194 	5mg 	com rev 	13/9/2013
Bisoprolol (hemifumarato) 	Merck S/A 	CONCOR 	100890194 	10,0mg 	com rev 	13/9/2013
Betaxolol (cloridrato) 	Novartis Biociências 	BETOPTIC 	100681111 	5,0mg/mL 	sol oft 	12/11/2012
Betaxolol (cloridrato) 	Novartis Biociências 	BETOPTIC 	100681111 	2,5mg/mL 	sus oft 	12/11/2012
Bezafibrato 	Glenmark 	CEDUR 	101000558 	200mg 	com rev 	12/11/2012
Bezafibrato 	Glenmark 	CEDUR 	101000558 	400mg 	com desint lenta 	12/11/2012
Bicalutamida 	Astrazeneca 	CASODEX 	116180062 	50mg 	com rev 	12/11/2012
Bifonazol 	Bayer 	MYCOSPOR 	170560080 	1mg/mL 	sol top (spr) 	12/11/2012
Bilastina 	Nycomed 	ALEKTOS 	106390259 	20mg 	com 	10/12/2014
Bimatoprosta 	Allergan 	LUMIGAN 	101470155 	0,1mg/mL 	sol oft 	31/1/2013
Bimatoprosta 	Allergan 	LUMIGAN 	101470155 	0,3mg/mL 	sol oft 	12/11/2013
Bimatoprosta 	Allergan 	LATISSE 	101470177 	0,3mg/ml 	sol derm 	29/1/2016
Biperideno (cloridrato) 	Abbott 	AKINETON 	105530334 	2mg 	com 	12/11/2012
Biperideno (cloridrato) 	Abbott 	AKINETON 	105530334 	4mg 	com rev lib retard 	12/11/2012
Bisacodil 	Boehringer Ingelheim 	DULCOLAX 	103670022 	5mg 	drag 	12/11/2012
Bleomicina(sulfato) 	Biosintética 	BONAR 	112130098 	15U 	po liof sol inj 	24/6/2013
Bortezomibe 	Janssen Cilag 	VELCADE 	112363373 	1mg 	po liof sol inj 	12/11/2012
Bortezomibe 	Janssen Cilag 	VELCADE 	112363373 	3,5 mg 	po liof sol inj 	12/11/2012
Bosentana 	Actelion 	GENÉRICO 	155380003 	62,5mg 	com rev 	31/1/2013
Bosentana 	Actelion 	GENÉRICO 	155380003 	125 mg 	com rev 	31/1/2013
Brimonidina (tartarato) 	Allergan 	ALPHAGAN 	101470142 	2mg/mL 	sol oft 	12/11/2012
Brimonidina (tartarato) 	Allergan 	ALPHAGAN Z 	101470142 	1mg/ml 	sol oft 	12/11/2012
Brimonidina (tartarato) 	Allergan 	ALPHAGAN - P 	101470142 	1,5mg/mL 	sol oft 	12/11/2012
Brinzolamida 	Novartis Biociências 	AZOPT 	100230225 	10mg/mL 	sus oft 	12/11/2012
Bromazepam 	Roche 	LEXOTAN 	101000043 	3,0mg 	com 	12/11/2012
Bromazepam 	Roche 	LEXOTAN 	101000043 	6,0mg 	com 	12/11/2012
Bromazepam 	Aché 	SOMALIUM 	105730152 	2,5mg/ml 	sol or 	24/6/2013
Brometo de pancurônio 	Novafarma 	BROMETO DE PANCURÔNIO 	114020066 	2mg/ml 	sol inj 	12/11/2012
Bromexina (cloridrato) 	Boehringer Ingelheim 	BISOLVON 	103670010 	0,8mg/mL 	xpe (infantil) 	12/11/2012
Bromexina (cloridrato) 	Boehringer Ingelheim 	BISOLVON 	103670010 	1,6mg/mL 	xpe (adulto) 	12/11/2012
Bromexina (cloridrato) 	Boehringer Ingelheim 	BISOLVON 	103670010 	2,0mg/mL 	sol or 	12/11/2012
Bromocriptina (mesilato) 	Novartis Biociências 	PARLODEL 	100680017 	2,5mg 	com 	12/11/2012
Bromoprida 	Sanofi-Aventis 	DIGESAN 	113001035 	10mg 	cap dura 	12/11/2012
Bromoprida 	Sanofi-Aventis 	DIGESAN 	113001035 	1mg/mL 	sol or 	12/11/2012
Bromoprida 	Sanofi-Aventis 	DIGESAN 	113001035 	4mg/mL 	sol or (got) 	12/11/2012
Bromoprida 	Sanofi-Aventis 	DIGESAN 	113001035 	5mg/ml 	sol inj 	12/11/2012
Buclizina (cloridrato) 	Sanofi-Aventis 	BUCLINA 	113001035 	25mg 	com 	12/11/2012
Budesonida 	Astrazeneca 	ENTOCORT CAPSULA 	116180097 	3mg 	cap dura lib retard 	12/11/2012
Budesonida 	Astrazeneca 	ENTOCORT ENEMA 	116180097 	2,3mg 	emul ret 	12/11/2012
Budesonida 	Astrazeneca 	BUDECORT AQUA 	116180091 	32mcg/dose 	sus spr nas 	12/11/2012
Budesonida 	Astrazeneca 	BUDECORT AQUA 	116180091 	64mcg/dose 	sus spr nas 	12/11/2012
Budesonida 	Astrazeneca 	PULMICORT 	116180076 	0,25mg/mL 	sus inal 	12/11/2012
Budesonida 	Astrazeneca 	PULMICORT 	116180076 	0,50mg/mL 	sus inal 	12/11/2012
Budesonida 	Biosintética 	BUSONID 	112130173 	100mcg/dose 	sus aq nas 	12/11/2012
Budesonida 	Biosintética 	BUSONID 	112130173 	200mcg 	cap dura po inal or + inal 	12/11/2012
Budesonida 	Biosintética 	BUSONID 	112130173 	400mcg 	cap dura po inal or + inal 	12/11/2012
Budesonida 	Biosintética 	BUSONID 	112130173 	50mcg/dose 	sus spr nas 	12/11/2012
Budesonida 	Biosintética 	BUSONID 	112130173 	100mcg/dose 	sus spr nas 	12/11/2012
Buflomedil (cloridrato) 	Abbott 	BUFEDIL 	105530013 	150mg 	com rev 	12/11/2012
Buflomedil (cloridrato) 	Abbott 	BUFEDIL 	105530013 	300 mg 	com rev 	12/11/2012
Bupivacaína (cloridrato) 	Hypofarma 	CLORIDRATO DE BUPIVACAÍNA 	103870053 	5mg/mL 	sol inj 	12/11/2012
Bupropiona (cloridrato) 	Glaxosmithkline 	WELLBUTRIN SR 	101070238 	150mg 	com rev lib lenta 	12/11/2012
Bupropiona (cloridrato) 	Glaxosmithkline 	ZYBAN 	101070272 	150mg 	com rev lib prol 	12/11/2012
Bupropiona (cloridrato) 	Glaxosmithkline 	WELLBUTRIN XL 	101070238 	150mg 	com rev lib prol 	12/11/2012
Bupropiona (cloridrato) 	Glaxosmithkline 	WELLBUTRIN XL 	101070238 	300mg 	com rev lib prol 	12/11/2012
Busserrelina (acetato) 	Sanofi-Aventis 	SUPREFACT depot 	113000080 	3,3 mg/microbastão 	impl 	12/11/2012
Bussulfano 	Glaxosmithkline 	MYLERAN 	101070187 	2mg 	com rev 	12/11/2012
Bussulfano 	Lab. Pierre Fabre 	BUSILVEX 	101620250 	6mg/ml 	sol inj 	30/11/2015
Butenafina (cloridrato) 	Brainfarma 	TEFIN 	155840042 	10mg/g 	crem derm 	12/11/2012
Butoconazol (nitrato) 	Sigma Pharma 	GYNAZOLE-1 	135690028 	20mg/g 	crem vag 	12/11/2012
Cabergolina 	Pfizer 	DOSTINEX 	102160140 	0,5mg 	com 	12/11/2012
Calcitonina (sintética de salmão) 	Novartis Biociências 	MIACALCIC 	100680050 	100UI/mL 	sol inj 	12/11/2012
Calcitonina (sintética de salmão) 	Novartis Biociências 	MIACALCIC 	100680050 	200UI/dose 	sol spr nas 	12/11/2012
Candesartana cilexetila 	Astrazeneca 	ATACAND 	116180095 	8mg 	com 	12/11/2012
Candesartana cilexetila 	Astrazeneca 	ATACAND 	116180095 	16mg 	com 	12/11/2012
Candesartana cilexetila 	Astrazeneca 	ATACAND 	116180095 	32mg 	com 	12/11/2012
Capecitabina 	Roche 	XELODA 	101000549 	150mg 	com rev 	12/11/2012
Capecitabina 	Roche 	XELODA 	101000549 	500mg 	com rev 	12/11/2012
Captopril 	Pharlab 	CAPTOSEN 	141070025 	25mg 	com 	6/6/2013
Captopril 	Pharlab 	CAPTOSEN 	141070025 	50mg 	com 	6/6/2013
Captopril 	Pharlab 	CAPTOSEN 	141070025 	12,5mg 	com 	10/12/2014
Carbamazepina 	Novartis Biociências 	TEGRETOL 	100680085 	20mg/ml 	sus or 	12/11/2012
Carbamazepina 	Novartis Biociências 	TEGRETOL 	100680085 	200mg 	com 	12/11/2012
Carbamazepina 	Novartis Biociências 	TEGRETOL 	100680085 	400mg 	com 	12/11/2012
Carbamazepina 	Novartis Biociências 	TEGRETOL CR 	100680085 	200mg 	com desint lenta 	12/11/2012
Carbamazepina 	Novartis Biociências 	TEGRETOL CR 	100680085 	400mg 	com desint lenta 	12/11/2012
Cabazitaxel 	Sanofi-Aventis 	JEVTANA 	113001098 	40mg/ml 	sol inj 	23/9/2014
Carbocisteína 	Nycomed 	MUCOLITIC 	106390202 	250mg/4g 	gran 	12/11/2012
